timestamp,temperature,humidity,irradiance,wind_speed
2026-01-20 16:00:00,28.5,65.2,450,5.8
2026-01-20 16:05:00,29.1,66.0,460,6.02026-01-21 12:08:43,27.73,50.29,594.8,4.53
2026-01-21 12:09:43,24.95,57.13,728.96,2.94
2026-01-21 19:47:45,20.21,69.71,513.24,1.97
2026-01-21 19:47:47,27.69,68.03,382.64,7.1
2026-01-21 19:47:49,27.26,56.71,407.58,8.44
2026-01-21 19:47:51,28.69,64.55,237.82,0.17
2026-01-21 19:47:53,28.91,48.24,545.27,2.24
2026-01-21 19:48:18,24.98,42.48,683.28,5.06
2026-01-21 19:48:20,20.91,61.96,627.92,7.89
2026-01-21 19:48:22,20.18,54.12,649.76,6.13
2026-01-21 19:48:24,27.18,42.91,353.31,2.53
2026-01-21 19:48:26,24.88,52.71,379.18,2.77
2026-01-21 19:49:39,29.69,62.13,566.59,5.47
2026-01-21 19:49:40,25.79,51.1,345.78,9.2
2026-01-21 19:49:41,29.94,60.16,716.05,2.99
2026-01-21 19:53:00,25.72,66.24,469.24,2.83
2026-01-21 19:53:01,24.9,54.07,257.88,3.94
2026-01-21 19:53:02,26.87,61.86,425.76,3.27
2026-01-21 19:53:44,26.86,63.93,490.19,8.63
2026-01-21 19:53:45,29.66,41.15,315.93,5.97
2026-01-21 19:54:46,22.33,57.09,581.3,3.42
2026-01-21 19:54:48,25.52,49.07,541.6,7.59
2026-01-21 19:54:50,22.03,52.02,676.24,1.23
2026-01-21 19:54:52,21.52,45.0,270.92,9.16
2026-01-21 19:54:54,25.22,56.73,781.79,8.04
2026-01-21 19:54:56,20.89,50.67,597.48,3.75
2026-01-21 19:54:58,23.94,46.19,423.4,3.84
2026-01-21 19:55:00,24.96,57.21,558.0,4.31
2026-01-21 19:55:02,28.21,56.68,346.86,1.48
2026-01-21 19:55:04,28.82,55.44,377.97,8.17
2026-01-21 19:55:06,29.34,66.95,635.79,9.03
2026-01-21 19:55:08,29.35,42.4,487.37,8.66
2026-01-21 19:55:10,20.11,69.8,642.95,0.41
2026-01-21 19:55:12,24.93,66.03,551.47,7.04
2026-01-21 19:55:14,28.89,58.73,291.41,4.91
2026-01-21 19:55:16,21.11,69.74,247.71,2.87
2026-01-21 19:55:18,26.11,69.15,340.0,6.59
2026-01-21 19:55:20,26.38,51.85,614.26,4.22
2026-01-21 19:55:22,24.44,51.91,261.62,1.76
2026-01-21 20:03:21,22.54,69.13,689.39,8.16
2026-01-21 20:03:23,24.83,49.38,792.31,3.24
2026-01-21 20:03:25,26.77,50.95,468.41,5.93
2026-01-21 20:03:27,20.29,65.53,434.08,9.93
2026-01-21 20:03:29,29.09,64.97,424.1,6.67
2026-01-21 20:03:31,27.34,66.19,555.99,0.65
2026-01-21 20:03:33,25.48,57.5,557.83,9.11
2026-01-21 20:03:35,24.48,46.22,464.79,3.15
2026-01-21 20:03:37,21.37,57.76,609.15,9.59
2026-01-21 20:03:39,25.13,63.11,497.64,7.96
2026-01-21 20:03:41,20.91,69.13,456.3,8.82
2026-01-21 20:03:43,26.21,64.72,566.2,3.72
2026-01-21 20:03:45,20.13,43.82,560.9,2.03
2026-01-21 20:03:47,29.79,51.1,732.73,9.99
2026-01-21 20:03:49,28.16,43.24,676.67,5.64
2026-01-21 20:03:51,26.93,55.53,511.15,8.39
2026-01-21 20:03:53,25.21,40.57,608.53,1.49
2026-01-21 20:03:56,23.03,56.11,465.66,1.97
2026-01-21 20:03:58,27.18,45.13,396.05,3.63
2026-01-21 20:04:00,27.44,44.58,331.3,7.16
2026-01-21 20:31:21,21.33,58.1,426.41,4.48
2026-01-21 20:31:23,20.59,43.16,790.31,4.76
2026-01-21 20:31:25,28.82,41.31,635.81,1.14
2026-01-21 20:31:27,29.97,57.64,336.39,5.21
2026-01-21 20:31:29,27.27,69.02,709.25,9.8
2026-01-21 20:31:31,26.14,52.89,388.19,7.88
2026-01-21 20:31:33,24.82,61.41,243.59,5.76
2026-01-21 20:31:35,26.53,67.17,352.14,4.99
2026-01-21 20:31:37,21.24,55.62,706.97,4.54
2026-01-21 20:33:55,26.31,55.48,325.35,9.35
2026-01-21 20:33:57,21.65,47.03,482.57,4.85
2026-01-21 20:33:59,22.76,41.32,595.95,1.07
2026-01-21 20:34:01,22.04,41.14,294.05,2.27
2026-01-21 20:34:03,25.39,60.6,470.61,6.72
2026-01-21 20:34:05,23.23,48.92,375.65,0.81
2026-01-21 20:34:07,20.01,65.61,326.33,6.89
2026-01-21 20:34:09,27.09,59.44,730.54,3.54
2026-01-21 20:34:11,22.0,65.62,697.83,0.59
2026-01-21 20:34:13,23.43,47.02,743.9,0.66
2026-01-21 20:34:15,28.98,66.84,609.98,3.83
2026-01-21 20:34:17,22.05,65.84,528.17,4.4
2026-01-21 20:34:19,29.98,65.72,222.5,6.2
2026-01-21 20:34:21,25.02,44.09,776.38,1.04
2026-01-21 20:34:23,23.37,62.78,569.44,0.66
2026-01-21 20:34:25,25.57,46.74,611.88,9.25
2026-01-21 20:34:27,27.72,66.05,290.98,8.61
2026-01-21 20:34:29,22.61,51.99,256.23,0.49
2026-01-21 20:34:31,20.08,66.45,382.73,2.94
2026-01-21 20:34:33,23.65,54.74,451.6,4.63
2026-01-21 20:39:53,26.85,69.92,699.94,8.16
2026-01-21 20:39:55,22.98,46.52,650.51,4.37
2026-01-21 20:39:57,29.85,59.46,279.09,1.66
2026-01-21 20:39:59,27.6,42.89,566.27,4.86
2026-01-21 20:40:01,27.11,54.55,202.73,4.69
2026-01-21 20:40:03,28.96,59.63,226.21,5.29
2026-01-21 20:40:05,22.48,45.79,356.18,0.85
2026-01-21 20:40:07,24.66,50.9,696.78,1.74
2026-01-21 20:40:09,29.96,56.62,218.53,3.99
2026-01-21 20:40:11,23.13,57.33,406.82,0.12
2026-01-21 20:40:13,23.64,47.89,402.54,9.36
2026-01-21 20:40:29,28.72,52.01,483.75,2.95
2026-01-21 20:40:31,28.12,62.98,221.73,1.88
2026-01-21 20:43:09,29.29,45.66,334.88,9.95
2026-01-21 20:43:11,24.11,59.97,470.95,9.84
2026-01-21 20:43:13,28.87,44.54,679.32,5.33
2026-01-21 20:43:15,22.08,66.3,701.89,5.41
2026-01-21 20:43:17,27.74,60.07,561.36,8.9
2026-01-21 20:43:20,25.02,45.23,482.14,9.2
2026-01-21 20:43:22,23.56,63.11,226.01,6.29
2026-01-21 20:43:24,23.31,41.2,759.05,5.91
2026-01-21 20:43:26,27.74,55.07,226.18,9.61
2026-01-21 20:43:28,27.12,40.55,297.72,1.84
2026-01-21 20:43:30,22.4,42.58,308.99,7.73
2026-01-21 20:43:32,24.95,47.98,634.75,8.92
2026-01-21 20:43:34,28.7,45.82,564.2,9.1
2026-01-21 20:43:36,21.09,45.33,333.34,1.71
